gender,agegroup,crude,province,year
F,45-63,18.9,Liege,2001
F,55-73,19.6,Liege,2001
F,65-83,16.8,Liege,2001
F,75+,16.3,Liege,2001
T,T,12.3,Liege,2001
M,15-33,6.3,luxembourg,2001
M,25-43,7.2,luxembourg,2001
M,35-53,4.6,luxembourg,2001
M,45-63,11.8,luxembourg,2001
M,55-73,8.7,luxembourg,2001
M,65-83,5.6,luxembourg,2001
M,75+,7.8,luxembourg,2001
M,T,7.4,luxembourg,2001
F,T,13.9,luxembourg,2001
F,15-33,11.7,luxembourg,2001
F,25-43,13,luxembourg,2001
F,35-53,9.9,luxembourg,2001
F,45-63,13.9,luxembourg,2001
F,55-73,7.6,luxembourg,2001
F,65-83,9.2,luxembourg,2001
F,75+,11.5,luxembourg,2001
T,T,9.5,luxembourg,2001
M,15-33,4.8,namur,2001
M,25-43,5.7,namur,2001
M,35-53,11.9,namur,2001
M,45-63,7.9,namur,2001
M,55-73,2.7,namur,2001
M,65-83,7.6,namur,2001
M,75+,8.7,namur,2001
M,T,7.3,namur,2001
F,T,12.7,namur,2001
F,15-33,8.7,namur,2001
F,25-43,3.6,namur,2001
F,35-53,10,namur,2001
F,45-63,12.7,namur,2001
F,55-73,14.1,namur,2001
F,65-83,0,namur,2001
F,75+,8.9,namur,2001
T,T,8.1,namur,2001
